epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,290.95,1.13591,0.6535,1.20993,0.79882,0.68777,0.76421,0.36129,2.00497,1.02164,1.85232,0.000307,0.000307,0.000307
44,297.023,1.09155,0.61014,1.18408,0.7715,0.73048,0.78953,0.36497,1.99219,1.06331,1.85221,0.0002905,0.0002905,0.0002905
45,303.591,1.1178,0.66203,1.22044,0.76465,0.73241,0.7687,0.3692,1.98291,1.07479,1.85815,0.000274,0.000274,0.000274
46,309.525,1.07065,0.6109,1.16176,0.7501,0.76155,0.77616,0.38352,2.0417,1.05193,1.90251,0.0002575,0.0002575,0.0002575
47,315.719,1.09343,0.62468,1.1799,0.78238,0.73172,0.79531,0.37801,2.01833,1.01277,1.89706,0.000241,0.000241,0.000241
48,321.949,1.07675,0.59883,1.15955,0.79961,0.77212,0.81105,0.39945,1.94668,0.9543,1.83809,0.0002245,0.0002245,0.0002245
49,328.13,1.03985,0.5927,1.14474,0.77881,0.80641,0.7988,0.40583,1.95495,1.00971,1.8631,0.000208,0.000208,0.000208
50,334.432,1.01274,0.55046,1.12117,0.77301,0.80718,0.81821,0.38543,1.96256,1.01501,1.88248,0.0001915,0.0001915,0.0001915
51,343.841,0.99191,0.52216,1.11404,0.73401,0.79522,0.80762,0.4107,1.98638,1.02676,1.89088,0.000175,0.000175,0.000175
52,349.959,0.99331,0.55415,1.11318,0.81205,0.74662,0.81347,0.40126,1.97484,1.06403,1.85405,0.0001585,0.0001585,0.0001585
53,355.9,0.92633,0.46148,1.08166,0.80787,0.78229,0.80452,0.37441,2.00371,1.05683,1.90168,0.000142,0.000142,0.000142
54,362.064,0.92889,0.47737,1.06685,0.82982,0.77636,0.82521,0.3833,1.97489,1.04363,1.89051,0.0001255,0.0001255,0.0001255
55,368.617,0.91448,0.49079,1.10373,0.79932,0.796,0.82605,0.39133,1.94227,1.04479,1.85783,0.000109,0.000109,0.000109
56,374.471,0.90926,0.4592,1.07703,0.79723,0.79775,0.81558,0.38557,1.96378,1.05789,1.88503,9.25e-05,9.25e-05,9.25e-05
57,380.945,0.90499,0.51477,1.08209,0.84399,0.75132,0.81237,0.38306,1.9666,1.05226,1.89184,7.6e-05,7.6e-05,7.6e-05
58,386.643,0.86359,0.45719,1.0448,0.8427,0.76181,0.8136,0.38038,1.97551,1.0446,1.90558,5.95e-05,5.95e-05,5.95e-05
59,392.255,0.89455,0.51892,1.08493,0.78395,0.81509,0.82074,0.38495,1.98103,1.03844,1.90638,4.3e-05,4.3e-05,4.3e-05
60,398.474,0.84851,0.43326,1.03393,0.77745,0.81189,0.81954,0.38077,1.97251,1.03628,1.89743,2.65e-05,2.65e-05,2.65e-05
